Name,Notes,Section,Assignee,Start Date,Due Date,Duration (hours),Dependencies,Priority,Tags,Status
Transcript del video en PDF profesional,"Crear transcript completo con formateo profesional, índice y notas explicativas

        📊 DETALLES TÉCNICOS:
        - Horas base: 3h
        - Con buffers salud: 4.5h
        - Tipo: Lectura Complementaria
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,06/17/2025,06/18/2025,4.5,,High,modulo-0|lectura-complementaria|fibromialgia-adaptado|buffer-incluido,Not Started
Ebook Historia del Bordado Bargello,"Ebook de 15 páginas con investigación histórica, imágenes y referencias

        📊 DETALLES TÉCNICOS:
        - Horas base: 15h
        - Con buffers salud: 22.5h
        - Tipo: Lectura Complementaria
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,06/19/2025,06/26/2025,22.5,Tarea-1,High,modulo-0|lectura-complementaria|fibromialgia-adaptado|buffer-incluido,Not Started
Video bienvenida - Escritura de guión,"Desarrollo de guión estructurado con timing y elementos visuales

        📊 DETALLES TÉCNICOS:
        - Horas base: 4h
        - Con buffers salud: 6.0h
        - Tipo: Video
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,06/27/2025,06/28/2025,6.0,Tarea-2,High,modulo-0|video|fibromialgia-adaptado|buffer-incluido,Not Started
Video bienvenida - Setup técnico,"Configuración Sony ZV-E10, iluminación LED PL48 y audio DJI Mic 2

        📊 DETALLES TÉCNICOS:
        - Horas base: 1h
        - Con buffers salud: 1.5h
        - Tipo: Video
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,06/29/2025,06/30/2025,1.5,Tarea-3,High,modulo-0|video|fibromialgia-adaptado|buffer-incluido,Not Started
Video bienvenida - Grabación,"Grabación en múltiples takes con backup de audio y video

        📊 DETALLES TÉCNICOS:
        - Horas base: 6h
        - Con buffers salud: 9.0h
        - Tipo: Video
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,07/01/2025,07/03/2025,9.0,Tarea-4,High,modulo-0|video|fibromialgia-adaptado|buffer-incluido,Not Started
Video bienvenida - Edición,"Edición profesional en Adobe Premiere Pro con transiciones y gráficos

        📊 DETALLES TÉCNICOS:
        - Horas base: 8h
        - Con buffers salud: 12.0h
        - Tipo: Video
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,07/04/2025,07/07/2025,12.0,Tarea-5,High,modulo-0|video|fibromialgia-adaptado|buffer-incluido,Not Started
Investigación histórica Bargello florentino,"Investigación en fuentes académicas sobre orígenes del Bargello en Florencia

        📊 DETALLES TÉCNICOS:
        - Horas base: 8h
        - Con buffers salud: 12.0h
        - Tipo: Tarea Autora
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,07/08/2025,07/11/2025,12.0,Tarea-6,High,modulo-0|tarea-autora|fibromialgia-adaptado|buffer-incluido,Not Started
Desarrollo filosofía pedagógica,"Creación de metodología pedagógica adaptada para fibromialgia

        📊 DETALLES TÉCNICOS:
        - Horas base: 6h
        - Con buffers salud: 9.0h
        - Tipo: Tarea Autora
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,07/12/2025,07/14/2025,9.0,Tarea-7,High,modulo-0|tarea-autora|fibromialgia-adaptado|buffer-incluido,Not Started
Guía de netiqueta para bordadoras,"Manual de 8 páginas con normas específicas para comunidad de bordado

        📊 DETALLES TÉCNICOS:
        - Horas base: 4h
        - Con buffers salud: 6.0h
        - Tipo: Lectura Complementaria
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,07/15/2025,07/16/2025,6.0,Tarea-8,High,modulo-0|lectura-complementaria|fibromialgia-adaptado|buffer-incluido,Not Started
Video tutorial uso del foro,"Tutorial de 20 minutos mostrando funcionalidades del foro

        📊 DETALLES TÉCNICOS:
        - Horas base: 3h
        - Con buffers salud: 4.5h
        - Tipo: Video
        - Módulo: 0

        🏥 ADAPTACIONES FIBROMIALGIA:
        - Pausas obligatorias cada 45 minutos
        - Sesiones máximo 3 horas continuas
        - Flexibilidad total para días de síntomas severos
        - Buffer del 25% adicional para recuperación

        📈 INDICADORES DE PROGRESO:
        - Puede redistribuirse según estado de salud
        - Progreso medible en incrementos pequeños
        - Sistema de recompensas por logros parciales",Módulo 0: Biblioteca Base,Tini Sanhueza,07/17/2025,07/18/2025,4.5,Tarea-9,High,modulo-0|video|fibromialgia-adaptado|buffer-incluido,Not Started
